mvp_rank,display_name,pts_won,pts_possible,pts_share,nba_person_id,nba_season
1,A'ja Wilson,670,670,100.00%,1628932,2024
2,Napheesa Collier,467,670,69.70%,1629483,2024
3,Breanna Stewart,295,670,44.00%,1627668,2024
4,Caitlin Clark,130,670,19.40%,1642286,2024
5,Alyssa Thomas,83,670,12.40%,203826,2024
6,Sabrina Ionescu,35,670,5.20%,1629477,2024
7,Nneka Ogwumike,25,670,3.70%,203014,2024
8,Kahleah Copper,11,670,1.60%,1627674,2024
9,Arike Ogunbowale,7,670,1.00%,1629481,2024
10,Jonquel Jones,6,670,0.90%,1627673,2024
10,Kelsey Mitchell,6,670,0.90%,1628909,2024
12,Angel Reese,3,670,0.40%,1642291,2024
13,Dearica Hamby,2,670,0.30%,204324,2024
14,DeWanna Bonner,1,670,0.10%,201886,2024
14,Kayla McBride,1,670,0.10%,203825,2024
1,Breanna Stewart,446,600,74.30%,1627668,2023
2,Alyssa Thomas,439,600,73.20%,203826,2023
3,A'ja Wilson,433,600,72.20%,1628932,2023
4,Napheesa Collier,109,600,18.20%,1629483,2023
5,Satou Sabally,35,600,5.80%,1630149,2023
6,Nneka Ogwumike,27,600,4.50%,203014,2023
7,Chelsea Gray,23,600,3.80%,203833,2023
7,Jewell Loyd,23,600,3.80%,204319,2023
9,Jackie Young,13,600,2.20%,1629498,2023
10,Arike Ogunbowale,9,600,1.50%,1629481,2023
11,Aliyah Boston,1,600,0.20%,1641648,2023
11,Sabrina Ionescu,1,600,0.20%,1629477,2023
11,Courtney Vandersloot,1,600,0.20%,202664,2023
1,A'ja Wilson,478,560,85.40%,1628932,2022
2,Breanna Stewart,446,560,79.60%,1627668,2022
3,Kelsey Plum,181,560,32.30%,1628276,2022
4,Alyssa Thomas,94,560,16.80%,203826,2022
5,Candace Parker,78,560,13.90%,201496,2022
6,Skylar Diggins-Smith,39,560,7.00%,203400,2022
7,Jonquel Jones,38,560,6.80%,1627673,2022
8,Sabrina Ionescu,24,560,4.30%,1629477,2022
9,Chelsea Gray,20,560,3.60%,203833,2022
10,Nneka Ogwumike,16,560,2.90%,203014,2022
11,Elena Delle Donne,9,560,1.60%,203399,2022
11,Courtney Vandersloot,9,560,1.60%,202664,2022
13,Kahleah Copper,8,560,1.40%,1627674,2022
14,Sylvia Fowles,7,560,1.30%,201480,2022
15,Emma Meesseman,5,560,0.90%,203416,2022
16,Natasha Cloud,3,560,0.50%,204333,2022
17,Arike Ogunbowale,1,560,0.20%,1629481,2022
1,Jonquel Jones,487,490,99.40%,1627673,2021
2,Brittney Griner,224,490,45.70%,203398,2021
3,Breanna Stewart,156,490,31.80%,1627668,2021
4,Sylvia Fowles,137,490,28.00%,201480,2021
5,Tina Charles,127,490,25.90%,202250,2021
6,A'ja Wilson,120,490,24.50%,1628932,2021
7,Skylar Diggins-Smith,11,490,2.20%,203400,2021
8,Arike Ogunbowale,5,490,1.00%,1629481,2021
9,Candace Parker,4,490,0.80%,201496,2021
10,Brionna Jones,3,490,0.60%,1628280,2021
1,A'ja Wilson,458,470,97.40%,1628932,2020
2,Breanna Stewart,308,470,65.50%,1627668,2020
3,Candace Parker,219,470,46.60%,201496,2020
4,Courtney Vandersloot,135,470,28.70%,202664,2020
5,Napheesa Collier,36,470,7.70%,1629483,2020
6,Arike Ogunbowale,27,470,5.70%,1629481,2020
7,Diana Taurasi,20,470,4.30%,100940,2020
8,DeWanna Bonner,11,470,2.30%,201886,2020
9,Alyssa Thomas,4,470,0.90%,203826,2020
10,Skylar Diggins-Smith,2,470,0.40%,203400,2020
10,Myisha Hines-Allen,2,470,0.40%,1628899,2020
1,Elena Delle Donne,420,430,97.70%,203399,2019
2,Brittney Griner,167,430,38.80%,203398,2019
3,Jonquel Jones,145,430,33.70%,1627673,2019
4,Nneka Ogwumike,128,430,29.80%,203014,2019
5,Natasha Howard,121,430,28.10%,203827,2019
6,Courtney Vandersloot,81,430,18.80%,202664,2019
7,DeWanna Bonner,15,430,3.50%,201886,2019
8,A'ja Wilson,10,430,2.30%,1628932,2019
9,Sylvia Fowles,9,430,2.10%,201480,2019
10,Liz Cambage,7,430,1.60%,202633,2019
10,Arike Ogunbowale,7,430,1.60%,1629481,2019
12,Chelsea Gray,5,430,1.20%,203833,2019
13,Courtney Williams,3,430,0.70%,1627675,2019
1,Breanna Stewart,372,390,95.40%,1627668,2018
2,Liz Cambage,231,390,59.20%,202633,2018
3,Elena Delle Donne,206,390,52.80%,203399,2018
4,Candace Parker,60,390,15.40%,201496,2018
5,Diana Taurasi,48,390,12.30%,100940,2018
6,Tiffany Hayes,46,390,11.80%,203026,2018
7,Sylvia Fowles,11,390,2.80%,201480,2018
7,A'ja Wilson,11,390,2.80%,1628932,2018
9,Maya Moore,8,390,2.10%,202632,2018
10,Kayla McBride,7,390,1.80%,203825,2018
11,Courtney Vandersloot,5,390,1.30%,202664,2018
12,Sue Bird,4,390,1.00%,100720,2018
12,Brittney Griner,4,390,1.00%,203398,2018
14,Angel McCoughtry,1,390,0.30%,201881,2018
1,Sylvia Fowles,385,400,96.30%,201480,2017
2,Tina Charles,197,400,49.30%,202250,2017
3,Candace Parker,132,400,33.00%,201496,2017
4,Nneka Ogwumike,89,400,22.30%,203014,2017
5,Jonquel Jones,88,400,22.00%,1627673,2017
6,Brittney Griner,82,400,20.50%,203398,2017
7,Elena Delle Donne,11,400,2.80%,203399,2017
8,Maya Moore,9,400,2.30%,202632,2017
9,Skylar Diggins-Smith,7,400,1.80%,203400,2017
10,Breanna Stewart,2,400,0.50%,1627668,2017
10,Courtney Vandersloot,2,400,0.50%,202664,2017
12,Diana Taurasi,1,400,0.30%,100940,2017
1,Nneka Ogwumike,362,390,92.80%,203014,2016
2,Tina Charles,267,390,68.50%,202250,2016
3,Maya Moore,197,390,50.50%,202632,2016
4,Elena Delle Donne,119,390,30.50%,203399,2016
5,Candace Parker,30,390,7.70%,201496,2016
6,Breanna Stewart,24,390,6.20%,1627668,2016
7,Angel McCoughtry,11,390,2.80%,201881,2016
8,Tamika Catchings,4,390,1.00%,100646,2016
10,Sue Bird,1,390,0.30%,100720,2016
9,Diana Taurasi,1,390,0.30%,100940,2016
