team_code,nba_season,nba_team_id,gp,wins,losses,wlp,streak,last10_wins,last10_losses,home_wins,home_losses,road_wins,road_losses,conference,league_rank,league_games_behind,conference_wins,conference_losses,conference_rank,conference_games_behind,division_wins,division_losses,division_rank
NYL,2016,1611661313,34,21,13,0.617647059,,,,10,7,11,6,East,3,7,11,5,3,0,0,0,0
PHX,2016,1611661317,34,16,18,0.470588235,,,,11,6,5,12,West,7,12,6,10,8,0,0,0,0
LVA,2016,1611661319,34,7,27,0.205882353,,,,4,13,3,14,West,12,21,1,15,12,0,0,0,0
LAS,2016,1611661320,34,26,8,0.764705882,,,,14,3,12,5,West,2,2,11,5,2,0,0,0,0
DAL,2016,1611661321,34,11,23,0.323529412,,,,6,11,5,12,West,11,17,8,8,11,0,0,0,0
WAS,2016,1611661322,34,13,21,0.382352941,,,,5,12,8,9,East,10,15,8,8,10,0,0,0,0
CON,2016,1611661323,34,14,20,0.411764706,,,,8,9,6,11,East,9,14,4,12,9,0,0,0,0
MIN,2016,1611661324,34,28,6,0.823529412,,,,15,2,13,4,West,1,0,15,1,1,0,0,0,0
IND,2016,1611661325,34,17,17,0.5,,,,8,9,9,8,East,5,11,8,8,5,0,0,0,0
SEA,2016,1611661328,34,16,18,0.470588235,,,,10,7,6,11,West,7,12,7,9,7,0,0,0,0
CHI,2016,1611661329,34,18,16,0.529411765,,,,11,6,7,10,East,4,10,8,8,4,0,0,0,0
ATL,2016,1611661330,34,17,17,0.5,,,,11,6,6,11,East,5,11,9,7,6,0,0,0,0
NYL,2017,1611661313,34,22,12,0.647058824,10,10,0,13,4,9,8,East,3,0,11,5,1,0,0,0,0
PHX,2017,1611661317,34,18,16,0.529411765,3,5,5,9,8,9,8,West,5,9,7,9,3,9,0,0,0
LVA,2017,1611661319,34,8,26,0.235294118,1,5,5,6,11,2,15,West,12,19,1,15,6,19,0,0,0
LAS,2017,1611661320,34,26,8,0.764705882,7,8,2,16,1,10,7,West,2,1,12,4,2,1,0,0,0
DAL,2017,1611661321,34,16,18,0.470588235,-1,5,5,10,7,6,11,West,7,11,7,9,4,11,0,0,0
WAS,2017,1611661322,34,18,16,0.529411765,-1,4,6,11,6,7,10,East,6,4,12,4,3,4,0,0,0
CON,2017,1611661323,34,21,13,0.617647059,-2,6,4,12,5,9,8,East,4,1,10,6,2,1,0,0,0
MIN,2017,1611661324,34,27,7,0.794117647,3,6,4,15,2,12,5,West,1,0,13,3,1,0,0,0,0
IND,2017,1611661325,34,9,25,0.264705882,-8,1,9,6,11,3,14,East,11,13,4,12,6,13,0,0,0
SEA,2017,1611661328,34,15,19,0.441176471,1,5,5,10,7,5,12,West,8,12,8,8,5,12,0,0,0
CHI,2017,1611661329,34,12,22,0.352941176,-4,4,6,4,13,8,9,East,9,10,6,10,4,10,0,0,0
ATL,2017,1611661330,34,12,22,0.352941176,-2,2,8,9,8,3,14,East,10,10,5,11,5,10,0,0,0
NYL,2018,1611661313,34,7,27,0.205882353,-13,0,10,4,13,3,14,East,11,16,6,10,5,16,0,0,0
PHX,2018,1611661317,34,20,14,0.588235294,4,5,5,9,8,11,6,West,5,6,8,8,2,6,0,0,0
LVA,2018,1611661319,34,14,20,0.411764706,-2,3,7,8,9,6,11,West,9,12,4,12,6,12,0,0,0
LAS,2018,1611661320,34,19,15,0.558823529,-2,5,5,11,6,8,9,West,6,7,9,7,3,7,0,0,0
DAL,2018,1611661321,34,15,19,0.441176471,-1,1,9,10,7,5,12,West,8,11,7,9,5,11,0,0,0
